InspeksiID,Tanggal,Bulan,NamaBulan,EstateKode,Estate,Wilayah,StatusKebun,Afdeling,BlokID,LuasHancak_Ha,PemanenID,NamaPemanen,MasaKerjaBulan,KelompokMasaKerja,StatusKaryawan,Mandor,Asisten,InspekturSQA,BrondolanTidakTerkutip,BuahMatangTertinggal,BuahMentahDipanen,MutuPotongTangkai,PelepahSengkleh,SusunanPelepah,PiringanBersih,GawanganBersih,PasarPikulBersih,KerapianTPH,SkorTotal,Grade,Denda_Rp,CurahHujanBulan_mm,TindakanKorektif,StatusVerifikasi
MH-02181,2026-07-10,7,Jul,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,A,MRA-A-015,17.4,PMN-0297,Herman Saragih,35,> 12 bulan,BHL,Slamet Adiputra,Nurdin Wijaya,Tri Wibisono,19.0,13.3,8.5,9.5,8.5,8.4,9.3,4.4,4.7,4.3,89.9,B,0,298.2,Pengarahan ringan,Terverifikasi
MH-02182,2026-07-10,7,Jul,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,A,MRA-A-018,24.5,PMN-0290,Tarno Ginting,124,> 12 bulan,SKU,Mulyadi Suhendra,Nurdin Wijaya,Tri Wibisono,16.8,14.1,8.8,8.8,9.1,8.4,9.0,4.2,4.8,4.5,88.5,B,0,298.2,Pengarahan ringan,Terverifikasi
MH-02183,2026-07-10,7,Jul,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,A,MRA-A-023,22.6,PMN-0294,Nasrul Fauzi,3,< 6 bulan,BHL,Ade Panjaitan,Nurdin Wijaya,Ratna Kusumaningrum,14.6,11.0,7.7,7.5,8.1,8.2,8.5,4.1,4.0,4.0,77.7,C,35000,298.2,Kutip ulang + coaching mandor,Terverifikasi
MH-02184,2026-07-10,7,Jul,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,A,MRA-A-001,19.0,PMN-0306,Feri Kusuma,83,> 12 bulan,SKU,Ade Panjaitan,Nurdin Wijaya,Dewi Lestari,17.1,13.2,8.6,9.5,9.5,9.5,9.1,4.8,4.3,4.6,90.2,A,0,298.2,Tidak ada,Terverifikasi
MH-02185,2026-01-01,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-015,22.8,PMN-0309,Priyo Wibowo,115,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Ratna Kusumaningrum,17.4,13.0,9.1,9.3,8.9,8.6,8.9,4.1,4.4,4.4,88.1,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02186,2026-01-01,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-013,23.4,PMN-0325,Nasrul Hutapea,110,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Ratna Kusumaningrum,16.2,13.8,9.1,8.4,8.7,8.4,8.8,4.3,4.4,4.1,86.2,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02187,2026-01-01,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-002,19.6,PMN-0321,Zainal Barus,121,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Hendra Sitompul,18.0,12.1,9.0,9.1,8.7,8.4,8.8,4.6,4.2,4.3,87.2,B,0,380.4,Pengarahan ringan,Menunggu verifikasi
MH-02188,2026-01-01,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-004,20.5,PMN-0322,Umar Wijaya,24,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Yanuar Santika,17.8,12.3,8.8,8.3,8.3,8.6,9.3,4.2,4.6,4.6,86.8,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02189,2026-01-01,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-004,22.3,PMN-0307,Gunawan Hutapea,5,< 6 bulan,SKU,Agus Prasetyo,Marwan Saragih,Tri Wibisono,13.5,10.2,7.5,8.0,8.2,7.3,7.9,4.1,4.0,3.8,74.5,C,35000,380.4,Kutip ulang + coaching mandor,Terverifikasi
MH-02190,2026-01-01,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-011,21.8,PMN-0313,Priyo Sudarmono,94,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Yanuar Santika,18.3,13.1,8.8,8.3,8.2,8.4,8.5,4.4,4.2,4.6,86.8,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02191,2026-01-04,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-010,23.4,PMN-0326,Nanda Wijaya,119,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Tri Wibisono,17.1,13.5,8.2,8.8,8.1,8.7,8.3,4.2,4.6,4.6,86.1,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02192,2026-01-04,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-004,16.3,PMN-0324,Sutrisno Fauzi,166,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Tri Wibisono,17.0,12.1,9.1,8.5,8.3,8.6,8.3,4.6,4.3,4.5,85.3,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02193,2026-01-04,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-008,14.8,PMN-0311,Priyo Barus,12,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Ratna Kusumaningrum,17.6,13.7,8.9,8.7,8.5,8.3,8.3,4.4,4.4,4.1,86.9,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02194,2026-01-04,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-009,22.8,PMN-0309,Priyo Wibowo,115,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Dewi Lestari,18.0,13.1,9.3,9.2,8.7,9.3,8.3,4.2,4.1,4.6,88.8,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02195,2026-01-04,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-019,17.3,PMN-0318,Hadi Sagala,10,6-12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Ratna Kusumaningrum,15.9,12.4,8.1,7.8,8.2,7.7,8.5,4.4,4.2,4.0,81.2,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02196,2026-01-04,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-007,21.8,PMN-0313,Priyo Sudarmono,94,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Tri Wibisono,16.1,13.4,8.8,9.1,9.2,8.7,8.5,4.1,4.4,4.5,86.8,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02197,2026-01-07,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-004,16.3,PMN-0323,Priyo Effendi,26,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Yanuar Santika,16.9,13.6,9.2,8.9,8.4,9.2,9.0,4.3,4.1,4.2,87.8,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02198,2026-01-07,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-024,23.4,PMN-0325,Nasrul Hutapea,110,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Hendra Sitompul,16.1,12.5,8.7,9.2,8.6,9.1,8.7,4.1,4.3,4.7,86.0,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02199,2026-01-07,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-024,14.8,PMN-0311,Priyo Barus,12,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Hendra Sitompul,16.2,13.8,8.9,8.5,9.3,8.6,8.7,4.5,4.3,4.4,87.2,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02200,2026-01-07,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-009,15.4,PMN-0308,Nasrul Prasetyo,72,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Yanuar Santika,16.2,12.9,8.8,8.6,9.1,8.7,9.0,4.4,4.4,4.5,86.6,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02201,2026-01-07,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-018,19.6,PMN-0321,Zainal Barus,121,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Tri Wibisono,16.8,12.1,8.9,8.9,9.2,9.2,9.0,4.3,4.5,4.4,87.3,B,0,380.4,Pengarahan ringan,Menunggu verifikasi
MH-02202,2026-01-07,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-018,17.3,PMN-0318,Hadi Sagala,10,6-12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Yanuar Santika,15.9,11.5,8.4,8.4,7.9,8.0,8.4,4.2,4.3,4.1,81.1,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02203,2026-01-13,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-019,21.8,PMN-0313,Priyo Sudarmono,94,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Hendra Sitompul,16.9,13.5,8.7,8.2,8.9,8.7,8.1,4.3,4.6,4.3,86.2,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02204,2026-01-13,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-024,22.3,PMN-0307,Gunawan Hutapea,5,< 6 bulan,SKU,Agus Prasetyo,Marwan Saragih,Hendra Sitompul,12.8,9.8,8.0,7.6,8.0,8.3,7.9,4.1,3.8,4.0,74.3,C,35000,380.4,Kutip ulang + coaching mandor,Terverifikasi
MH-02205,2026-01-13,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-007,19.3,PMN-0314,Yusuf Sianturi,21,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Ratna Kusumaningrum,17.3,13.2,8.9,8.3,8.7,8.8,8.6,4.6,4.1,4.3,86.8,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02206,2026-01-13,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-021,16.3,PMN-0324,Sutrisno Fauzi,166,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Hendra Sitompul,16.7,12.2,8.7,8.6,8.3,8.6,9.0,4.2,4.1,4.7,85.1,B,0,380.4,Pengarahan ringan,Menunggu verifikasi
MH-02207,2026-01-13,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-002,15.6,PMN-0316,Samsul Sianturi,117,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Dewi Lestari,18.2,12.9,8.4,9.3,8.5,8.4,8.8,4.1,4.5,4.6,87.7,B,0,380.4,Pengarahan ringan,Menunggu verifikasi
MH-02208,2026-01-13,1,Jan,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-006,16.2,PMN-0315,Joko Sagala,14,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Yanuar Santika,16.8,12.8,9.2,8.3,8.3,8.2,8.2,4.1,4.5,4.4,84.8,B,0,380.4,Pengarahan ringan,Terverifikasi
MH-02209,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-012,16.2,PMN-0315,Joko Sagala,14,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Tri Wibisono,17.9,12.5,9.5,9.3,9.2,9.4,9.5,4.6,4.4,4.5,90.8,A,0,235.9,Tidak ada,Terverifikasi
MH-02210,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-013,16.3,PMN-0324,Sutrisno Fauzi,166,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Tri Wibisono,16.8,12.5,8.9,9.5,8.8,8.8,8.8,4.3,4.7,4.4,87.5,B,0,235.9,Pengarahan ringan,Menunggu verifikasi
MH-02211,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-017,17.1,PMN-0310,Hendra Saragih,5,< 6 bulan,SKU,Budi Sinaga,Marwan Saragih,Yanuar Santika,13.0,10.6,7.9,8.1,8.0,8.0,7.7,4.1,3.8,4.0,75.2,C,35000,235.9,Kutip ulang + coaching mandor,Terverifikasi
MH-02212,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-002,22.8,PMN-0309,Priyo Wibowo,115,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Tri Wibisono,19.0,13.8,8.4,8.9,8.4,9.0,8.9,4.5,4.2,4.7,89.8,B,0,235.9,Pengarahan ringan,Menunggu verifikasi
MH-02213,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-017,16.3,PMN-0323,Priyo Effendi,26,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Yanuar Santika,19.0,12.8,8.7,8.8,8.4,8.7,8.8,4.6,4.3,4.6,88.7,B,0,235.9,Pengarahan ringan,Menunggu verifikasi
MH-02214,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-003,20.5,PMN-0322,Umar Wijaya,24,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Hendra Sitompul,17.0,13.1,9.5,8.6,9.6,9.4,9.2,4.7,4.6,4.6,90.3,A,0,235.9,Tidak ada,Terverifikasi
MH-02215,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-006,23.4,PMN-0326,Nanda Wijaya,119,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Dewi Lestari,18.7,13.9,9.5,9.3,8.4,9.4,9.0,4.7,4.2,4.5,91.6,A,0,235.9,Tidak ada,Terverifikasi
MH-02216,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-013,17.3,PMN-0318,Hadi Sagala,10,6-12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Yanuar Santika,16.0,11.9,8.0,8.7,8.6,8.8,8.5,4.4,4.2,4.2,83.3,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02217,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-005,23.1,PMN-0312,Yusuf Sagala,26,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Hendra Sitompul,18.4,13.0,9.4,8.8,9.2,9.2,8.5,4.6,4.4,4.4,89.9,B,0,235.9,Pengarahan ringan,Menunggu verifikasi
MH-02218,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-009,15.6,PMN-0316,Samsul Sianturi,117,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Dewi Lestari,18.3,14.1,8.8,9.3,9.3,8.4,9.6,4.2,4.7,4.4,91.1,A,0,235.9,Tidak ada,Terverifikasi
MH-02219,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-009,15.4,PMN-0308,Nasrul Prasetyo,72,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Tri Wibisono,18.3,12.9,8.8,8.5,9.3,8.6,8.8,4.3,4.5,4.6,88.6,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02220,2026-02-14,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-023,16.3,PMN-0323,Priyo Effendi,26,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Yanuar Santika,18.1,12.8,8.7,9.0,8.7,9.2,8.5,4.3,4.7,4.7,88.7,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02221,2026-02-03,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-023,14.8,PMN-0311,Priyo Barus,12,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Tri Wibisono,18.8,12.7,9.6,8.5,9.4,9.1,8.6,4.3,4.7,4.2,89.9,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02222,2026-02-03,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-011,22.8,PMN-0309,Priyo Wibowo,115,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Ratna Kusumaningrum,17.2,13.7,8.4,8.8,9.6,9.4,8.9,4.6,4.6,4.2,89.4,B,0,235.9,Pengarahan ringan,Menunggu verifikasi
MH-02223,2026-02-03,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-018,15.6,PMN-0316,Samsul Sianturi,117,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Tri Wibisono,17.0,12.5,8.4,9.5,9.5,9.0,9.3,4.6,4.5,4.2,88.5,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02224,2026-02-03,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-018,16.3,PMN-0324,Sutrisno Fauzi,166,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Ratna Kusumaningrum,17.0,13.5,8.6,9.4,9.5,9.4,9.5,4.5,4.2,4.4,90.0,A,0,235.9,Tidak ada,Terverifikasi
MH-02225,2026-02-03,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-015,21.6,PMN-0317,Sri Ginting,66,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Tri Wibisono,18.3,14.0,8.8,9.6,9.4,8.6,9.3,4.6,4.3,4.4,91.3,A,0,235.9,Tidak ada,Terverifikasi
MH-02226,2026-02-03,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-021,23.4,PMN-0326,Nanda Wijaya,119,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Ratna Kusumaningrum,17.5,13.8,9.2,9.3,9.4,9.5,8.7,4.3,4.3,4.6,90.6,A,0,235.9,Tidak ada,Terverifikasi
MH-02227,2026-02-02,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-010,21.6,PMN-0317,Sri Ginting,66,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Ratna Kusumaningrum,16.8,13.3,8.9,8.5,9.5,9.4,9.5,4.6,4.5,4.3,89.3,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02228,2026-02-02,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-007,23.1,PMN-0312,Yusuf Sagala,26,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Yanuar Santika,18.6,13.3,8.7,9.0,9.1,9.0,8.5,4.3,4.5,4.7,89.7,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02229,2026-02-02,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-011,22.8,PMN-0309,Priyo Wibowo,115,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Hendra Sitompul,17.6,12.6,8.5,9.0,8.8,9.6,8.5,4.2,4.6,4.8,88.2,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02230,2026-02-02,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-021,15.4,PMN-0308,Nasrul Prasetyo,72,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Ratna Kusumaningrum,18.2,13.1,8.8,9.0,9.1,8.7,9.4,4.3,4.6,4.2,89.4,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02231,2026-02-02,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-012,20.5,PMN-0322,Umar Wijaya,24,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Hendra Sitompul,18.4,12.5,8.8,9.5,8.6,8.9,9.0,4.8,4.3,4.7,89.5,B,0,235.9,Pengarahan ringan,Terverifikasi
MH-02232,2026-02-02,2,Feb,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-023,15.6,PMN-0316,Samsul Sianturi,117,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Ratna Kusumaningrum,18.7,13.4,8.7,9.3,9.4,9.3,8.7,4.7,4.8,4.6,91.6,A,0,235.9,Tidak ada,Menunggu verifikasi
MH-02233,2026-03-13,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-017,19.3,PMN-0314,Yusuf Sianturi,21,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Tri Wibisono,17.4,13.8,8.8,8.5,8.4,8.1,8.7,4.1,4.5,4.3,86.6,B,0,391.0,Pengarahan ringan,Menunggu verifikasi
MH-02234,2026-03-13,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-006,16.3,PMN-0323,Priyo Effendi,26,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Yanuar Santika,17.5,13.6,8.9,9.3,8.8,8.8,8.8,4.1,4.4,4.3,88.5,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02235,2026-03-13,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-010,21.6,PMN-0317,Sri Ginting,66,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Tri Wibisono,16.7,13.8,8.5,8.5,8.7,9.3,9.2,4.2,4.1,4.6,87.6,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02236,2026-03-13,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-017,23.4,PMN-0325,Nasrul Hutapea,110,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Tri Wibisono,16.7,12.7,9.2,8.6,8.2,8.2,8.8,4.5,4.6,4.5,86.0,B,0,391.0,Pengarahan ringan,Menunggu verifikasi
MH-02237,2026-03-13,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-024,19.6,PMN-0321,Zainal Barus,121,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Dewi Lestari,18.2,13.5,8.4,8.4,9.2,8.4,8.3,4.1,4.4,4.2,87.1,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02238,2026-03-13,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-024,21.8,PMN-0313,Priyo Sudarmono,94,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Yanuar Santika,18.2,13.3,8.8,8.5,9.3,8.4,9.0,4.3,4.1,4.2,88.1,B,0,391.0,Pengarahan ringan,Menunggu verifikasi
MH-02239,2026-03-26,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-004,22.5,PMN-0320,Untung Pratama,36,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Tri Wibisono,16.9,12.9,8.3,8.6,8.8,8.7,8.6,4.5,4.1,4.4,85.8,B,0,391.0,Pengarahan ringan,Menunggu verifikasi
MH-02240,2026-03-26,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-024,23.1,PMN-0312,Yusuf Sagala,26,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Hendra Sitompul,16.4,12.7,8.7,9.0,8.6,8.3,8.2,4.6,4.6,4.2,85.3,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02241,2026-03-26,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-012,16.2,PMN-0315,Joko Sagala,14,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Yanuar Santika,18.0,12.4,9.0,8.2,8.6,8.2,8.9,4.3,4.7,4.2,86.5,B,0,391.0,Pengarahan ringan,Menunggu verifikasi
MH-02242,2026-03-26,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-010,20.5,PMN-0322,Umar Wijaya,24,> 12 bulan,SKU,Agus Prasetyo,Marwan Saragih,Dewi Lestari,16.8,12.2,8.6,8.6,9.2,9.0,8.4,4.5,4.5,4.2,86.0,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02243,2026-03-26,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-004,21.6,PMN-0317,Sri Ginting,66,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Ratna Kusumaningrum,18.2,12.9,9.0,8.9,9.0,8.4,8.8,4.3,4.4,4.5,88.4,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02244,2026-03-26,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-010,15.6,PMN-0316,Samsul Sianturi,117,> 12 bulan,SKU,Wahyu Ismail,Marwan Saragih,Tri Wibisono,17.9,13.3,8.4,8.8,8.8,8.6,8.7,4.6,4.4,4.1,87.6,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02245,2026-03-25,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-012,21.6,PMN-0317,Sri Ginting,66,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Ratna Kusumaningrum,18.2,12.9,8.2,8.8,8.7,8.6,8.3,4.2,4.3,4.1,86.3,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02246,2026-03-25,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-019,16.3,PMN-0323,Priyo Effendi,26,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Hendra Sitompul,16.2,12.4,8.7,9.1,9.0,9.2,8.8,4.3,4.3,4.3,86.3,B,0,391.0,Pengarahan ringan,Menunggu verifikasi
MH-02247,2026-03-25,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-018,22.5,PMN-0320,Untung Pratama,36,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Dewi Lestari,16.5,13.4,8.5,9.3,8.5,8.5,8.9,4.2,4.3,4.3,86.4,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02248,2026-03-25,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-024,23.4,PMN-0325,Nasrul Hutapea,110,> 12 bulan,BHL,Wahyu Ismail,Marwan Saragih,Ratna Kusumaningrum,16.6,13.8,8.1,9.1,9.3,9.1,8.6,4.1,4.3,4.6,87.6,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02249,2026-03-25,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-023,14.8,PMN-0311,Priyo Barus,12,> 12 bulan,SKU,Budi Sinaga,Marwan Saragih,Hendra Sitompul,17.8,12.4,8.5,8.2,8.2,9.3,8.9,4.5,4.1,4.2,86.1,B,0,391.0,Pengarahan ringan,Terverifikasi
MH-02250,2026-03-25,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-020,22.3,PMN-0307,Gunawan Hutapea,5,< 6 bulan,SKU,Agus Prasetyo,Marwan Saragih,Yanuar Santika,12.9,10.2,7.5,7.4,8.1,7.7,7.7,3.8,3.7,3.9,72.9,C,35000,391.0,Kutip ulang + coaching mandor,Terverifikasi
MH-02251,2026-03-21,3,Mar,MRA,Estate Muara Alam,Kalimantan Tengah,Inti,B,MRA-B-008,16.3,PMN-0324,Sutrisno Fauzi,166,> 12 bulan,BHL,Agus Prasetyo,Marwan Saragih,Dewi Lestari,17.5,13.3,8.2,8.8,8.8,9.3,8.3,4.1,4.4,4.5,87.2,B,0,391.0,Pengarahan ringan,Terverifikasi
